Industry - Department,Role
Legal -  Corporate / Commercial Law,Corporate Lawyer
Legal -  Corporate / Commercial Law,Corporate Civil Lawyer
Legal -  Corporate / Commercial Law,Legal Counsel
Legal -  Corporate / Commercial Law,Legal Advisor
Legal -  Litigation & Dispute Resolution,Civil Litigation Lawyer
Legal -  Litigation & Dispute Resolution,Criminal Lawyer
Legal -  Litigation & Dispute Resolution,Public Prosecutor
Legal -  Litigation & Dispute Resolution,Family Law Advocate
Legal -  Litigation & Dispute Resolution,Divorce & Matrimonial Lawyer
Legal -  Intellectual Property (IP) Law,IP Lawyer
Legal -  Intellectual Property (IP) Law,Patent Agent
Legal -  Intellectual Property (IP) Law,Trademark Attorney
Legal -  Intellectual Property (IP) Law,IP Consultant
Legal -  Banking & Finance Law,Bank Legal Officer
Legal -  Banking & Finance Law,Corporate Banking Lawyer
Legal -  Banking & Finance Law,Insolvency & Bankruptcy Lawyer
Legal -  Taxation Law,Tax Lawyer
Legal -  Taxation Law,Tax Consultant
Legal -  Taxation Law,Corporate Tax Consultant
Legal -  Taxation Law,GST Specialist Lawyer
Legal -  Labour & Employment Law,Corporate Labour Law Advisor
Legal -  Real Estate & Property Law,Property Lawyer
Legal -  Regulatory & Compliance,Compliance Officer
Legal -  Regulatory & Compliance,Corporate Governance Consultant
Legal -  Regulatory & Compliance,Data Privacy Officer
Legal -  Regulatory & Compliance,Legal Policy Advisor
Legal -  Regulatory & Compliance,Environmental Lawyer
Legal -  Regulatory & Compliance,NGO Legal Specialist
Legal -  Regulatory & Compliance,Government Legal Officer
"Legal -  Technology, Media & Telecommunications (TMT)",Cyber Lawyer
"Legal -  Technology, Media & Telecommunications (TMT)",Digital Evidence Lawyer
Legal -  Arbitration & ADR,International Arbitration Lawyer
Legal -  Public Law & International Law,Constitutional Lawyer
Legal -  Public Law & International Law,International Lawyer
Legal -  Public Law & International Law,Legislative Consultant
Legal -  Public Law & International Law,Human Rights Lawyer
Education -  Content & Localization,Translator
Education -  Student Support & Wellbeing,Mental Health Educator
Education -  Content & Curriculum Development,Content Writer
Education -  Teaching & Instruction,Teacher
Education -  Research & Innovation,Academic Researcher
Education -  Student Support & Wellbeing,Yoga Instructor
Education -  Teaching & Instruction,Drawing Teacher
Education -  Content & Curriculum Development,Curriculum Developer
Education -  Research & Innovation,Research Scientist
Education -  Research & Innovation,Veterinary Research Scientist
Education -  Teaching & Instruction,Teacher
Education -  Student Support & Wellbeing,Counselor
Education -  Knowledge Management & Archives,Museum Curator
Education -  Knowledge Management & Archives,Archivist
Education -  Research & Innovation,Research Associate
Education -  Student Support & Wellbeing,Yoga Therapist
Education -  Content & Curriculum Development,Content Developer
Education -  Research & Innovation,Researcher
Education -  Training & Faculty Development,Trainer
Education -  Operations & Administration,Corporate Operations Manager
Education -  Human Resources,Human Resources Associate
Education -  Academic Operations,Academic Coordinator
Education -  Research & Innovation,Researcher
Education -  Research & Innovation,Research Assistant
Education -  Teaching & Instruction,Nurse Educator
Education -  Student Support & Wellbeing,Sports Instructor
Education -  Training & Faculty Development,Teacher Trainer
Education -  Research & Innovation,Veterinary Researcher
Education -  Student Support & Wellbeing,Counsellor
Education -  Research & Innovation,AI Research Scientist
Education -  Teaching & Instruction,Educator
BFSI -  Function,Role
BFSI -  Finance & Accounting,Accountant
BFSI -  Finance & Accounting,Chartered Accountant
BFSI -  Finance & Accounting,Cost Accountant
BFSI -  Finance & Accounting,Management Accountant
BFSI -  Finance & Accounting,Accounts Executive
BFSI -  Finance & Accounting,Financial Controller
BFSI -  Finance & Accounting,Corporate Finance Manager
BFSI -  Finance & Accounting,Financial Manager
"BFSI -  Risk, Compliance & Legal",Compliance Officer
"BFSI -  Risk, Compliance & Legal",Bank Legal Officer
"BFSI -  Risk, Compliance & Legal",Corporate Banking Lawyer
"BFSI -  Risk, Compliance & Legal",Corporate Governance Consultant
"BFSI -  Risk, Compliance & Legal",Data Privacy Officer
"BFSI -  Risk, Compliance & Legal",GST Specialist Lawyer
"BFSI -  Risk, Compliance & Legal",Insolvency & Bankruptcy Lawyer
"BFSI -  Risk, Compliance & Legal",Financial Crime Analyst
BFSI -  Audit & Assurance,Auditor
BFSI -  Audit & Assurance,Forensic Accountant
BFSI -  Audit & Assurance,Quality Assurance Analyst
BFSI -  Taxation,Tax Consultant
BFSI -  Taxation,Tax Assistant
BFSI -  Taxation,Corporate Tax Consultant
"BFSI -  Sales, Marketing & Relationship Management",Sales Executive
"BFSI -  Sales, Marketing & Relationship Management",Marketing Executive
"BFSI -  Sales, Marketing & Relationship Management",Advertising Account Executive
"BFSI -  Sales, Marketing & Relationship Management",Relationship Manager
BFSI -  Investment & Treasury,Investment Analyst
BFSI -  Investment & Treasury,Investment Banking Analyst
BFSI -  Investment & Treasury,Venture Capital Associate
BFSI -  Investment & Treasury,Foreign Exchange Analyst
BFSI -  Investment & Treasury,Quantitative Analyst
BFSI -  Investment & Treasury,Credit Analyst
"BFSI -  Strategy, Consulting & Research",Economist
"BFSI -  Strategy, Consulting & Research",Business Analyst
"BFSI -  Strategy, Consulting & Research",Policy Analyst
"BFSI -  Strategy, Consulting & Research",Business Consultant
"BFSI -  Strategy, Consulting & Research",International Trade Consultant
"BFSI -  Strategy, Consulting & Research",International Business Manager
"BFSI -  Strategy, Consulting & Research",Project Manager
"BFSI -  Data, Analytics & Technology",Data Analyst
"BFSI -  Data, Analytics & Technology",BI Analyst
"BFSI -  Data, Analytics & Technology",Statistician
"BFSI -  Data, Analytics & Technology",Actuarial Analyst
"BFSI -  Data, Analytics & Technology",Penetration Tester
"BFSI -  Data, Analytics & Technology",Security Architect
BFSI -  Operations & Administration,Operations Executive
BFSI -  Operations & Administration,Operations Analyst
BFSI -  Operations & Administration,Corporate Operations Manager
BFSI -  Operations & Administration,Administrative Officer
BFSI -  Operations & Administration,Administrative Head
BFSI -  Operations & Administration,Procurement/Contract Analyst
BFSI -  Human Resources & Talent,HR Executive
BFSI -  Human Resources & Talent,HR Generalist
BFSI -  Human Resources & Talent,Human Resources Associate
BFSI -  Human Resources & Talent,Talent Acquisition Specialist
"BFSI -  Risk, Compliance & Legal",Company Secretary
"BFSI -  Strategy, Consulting & Research",EHS/ESG Consultant
BFSI -  Finance & Accounting,Financial Analyst
BFSI -  Finance & Accounting,Financial Analyst
Healthcare -  Medical Services,General Physician
Healthcare -  Medical Services,Obstetrician
Healthcare -  Medical Services,Radiologist
Healthcare -  Medical Services,Junior Resident Doctor
Healthcare -  Medical Services,Medical Officer
Healthcare -  Medical Services,ICU Doctors
Healthcare -  Medical Services,Reconstructive Surgeon
Healthcare -  Nursing & Patient Care,Staff Nurse
Healthcare -  Nursing & Patient Care,Clinical Nurse Specialist
Healthcare -  Nursing & Patient Care,Labor and Delivery Nurse
Healthcare -  Nursing & Patient Care,Postpartum Nurse
Healthcare -  Nursing & Patient Care,Maternity Ward Nurse
Healthcare -  Nursing & Patient Care,Nurse Educator
Healthcare -  Allied Health & Therapy,Clinical Physiotherapist
Healthcare -  Allied Health & Therapy,Sports Physiotherapist
Healthcare -  Allied Health & Therapy,Pediatric Physiotherapist
Healthcare -  Allied Health & Therapy,Speech and Language Therapist
Healthcare -  Allied Health & Therapy,Therapist
Healthcare -  Allied Health & Therapy,Rehabilitation Specialist
Healthcare -  Allied Health & Therapy,Rehabilitator
Healthcare -  Diagnostics & Laboratory,Lab Technician
Healthcare -  Diagnostics & Laboratory,Diagnostic Lab Technician
Healthcare -  Diagnostics & Laboratory,Diagnostic Technologist
Healthcare -  Diagnostics & Laboratory,Pathologist
Healthcare -  Diagnostics & Laboratory,Microbiologist
Healthcare -  Diagnostics & Laboratory,Medical Imaging Specialist
Healthcare -  Pharmacy & Drug Safety,Pharmacist
Healthcare -  Pharmacy & Drug Safety,Drug Inspector
Healthcare -  Pharmacy & Drug Safety,Drug Safety Analyst
Healthcare -  Pharmacy & Drug Safety,Pharmacovigilance
Healthcare -  Public Health & Research,Epidemiologist
Healthcare -  Public Health & Research,Genetic Consultant
Healthcare -  Public Health & Research,Veterinary Research Scientist
Healthcare -  Veterinary & Animal Health,Veterinary Surgeon
Healthcare -  Veterinary & Animal Health,Veterinary Pathologist
Healthcare -  Veterinary & Animal Health,Veterinary Officer
Healthcare -  Veterinary & Animal Health,Veterinary Officers
Healthcare -  Veterinary & Animal Health,Veterinary Assistant
Healthcare -  Veterinary & Animal Health,Veterinary Inspector
Healthcare -  Veterinary & Animal Health,Animal Health Manager
Healthcare -  Veterinary & Animal Health,Livestock Development Officer
Healthcare -  Veterinary & Animal Health,Veterinary Gynaecologist
Healthcare -  Wellness & Alternative Medicine,Yoga Instructor
Healthcare -  Wellness & Alternative Medicine,Yoga Therapist
Healthcare -  Wellness & Alternative Medicine,Fitness Trainer
Healthcare -  Wellness & Alternative Medicine,Wellness Consultant
Healthcare -  Wellness & Alternative Medicine,Ayurvedic Doctor
Healthcare -  Wellness & Alternative Medicine,Mental Health Educator
Healthcare -  Wellness & Alternative Medicine,Counselor
Healthcare -  Wellness & Alternative Medicine,Counsellor
Healthcare -  Hospital Administration & Operations,Hospital Administrator
Healthcare -  Hospital Administration & Operations,Patient Experience Manager
Healthcare -  Hospital Administration & Operations,Medical Superintendent
"Healthcare -  Food, Nutrition & Safety",Nutritionist
"Healthcare -  Food, Nutrition & Safety",Food Technologist
"Healthcare -  Food, Nutrition & Safety",Food Safety Officer
"Healthcare -  Food, Nutrition & Safety",Food Safety & Inspection Officer
"Healthcare -  Food, Nutrition & Safety",Food Quality Controller
"Healthcare -  Food, Nutrition & Safety",Hospital Diet Clerk
Healthcare -  Diagnostics & Laboratory,Biomedical Equipment Technician
Healthcare -  Diagnostics & Laboratory,Clinical Engineer
Healthcare -  Diagnostics & Laboratory,Bioprocess Engineer
Healthcare -  Diagnostics & Laboratory,Medical Textile Engineer
Healthcare -  Medical Services,General Dental Surgeon
Healthcare -  Medical Services,Orthodontist
Healthcare -  Medical Services,Periodontist
Healthcare -  Medical Services,Dental Officer
Healthcare -  Medical Services,Dental Surgeon
Healthcare -  Medical Services,Dental Implantologist
Healthcare -  Medical Services,Oral & Maxillofacial Surgeon
Healthcare -  Medical Services,Periodontal Surgeon
Healthcare -  Public Health & Research,Social Worker
Lifesciences -  Research & Development,Research Scientist
Lifesciences -  Research & Development,Research Associate
Lifesciences -  Research & Development,Research Assistant
Lifesciences -  Research & Development,Researcher
Lifesciences -  Research & Development,Genetic Engineer
Lifesciences -  Research & Development,Biochemical Engineer
Lifesciences -  Research & Development,Bioinformatics Analyst
Lifesciences -  Research & Development,Bioinformatics
Lifesciences -  Laboratory & Diagnostics,Lab Technician
Lifesciences -  Laboratory & Diagnostics,Diagnostic Lab Technician
Lifesciences -  Laboratory & Diagnostics,Diagnostic Technologist
Lifesciences -  Laboratory & Diagnostics,DNA Analyst
Lifesciences -  Laboratory & Diagnostics,Microbiologist
Lifesciences -  Laboratory & Diagnostics,Pathologist
Lifesciences -  Laboratory & Diagnostics,Medical Imaging Specialist
Lifesciences -  Forensics & Toxicology,Forensic Scientist
Lifesciences -  Forensics & Toxicology,Forensic Toxicologist
Lifesciences -  Forensics & Toxicology,Forensic Laboratory Analyst
Lifesciences -  Forensics & Toxicology,Crime Laboratory Analyst
Lifesciences -  Forensics & Toxicology,Forensic Chemical Analyst
Lifesciences -  Forensics & Toxicology,Trace Evidence Analyst
Lifesciences -  Forensics & Toxicology,Forensic Anthropologist
Lifesciences -  Forensics & Toxicology,Narcotics Analyst
Lifesciences -  Pharma & Drug Development,Pharmacist
Lifesciences -  Pharma & Drug Development,Pharmaceutical Engineer
Lifesciences -  Pharma & Drug Development,Biopharmaceuticals
Lifesciences -  Pharma & Drug Development,Drug Inspector
Lifesciences -  Pharma & Drug Development,Drug Safety Analyst
Lifesciences -  Pharma & Drug Development,Pharmacovigilance
Lifesciences -  Clinical & Healthcare Services,General Physician
Lifesciences -  Clinical & Healthcare Services,Obstetrician
Lifesciences -  Clinical & Healthcare Services,Radiologist
Lifesciences -  Clinical & Healthcare Services,Medical Officer
Lifesciences -  Clinical & Healthcare Services,ICU Doctors
Lifesciences -  Clinical & Healthcare Services,Reconstructive Surgeon
Lifesciences -  Clinical & Healthcare Services,Dental Surgeon
Lifesciences -  Clinical & Healthcare Services,Orthodontist
Lifesciences -  Clinical & Healthcare Services,Periodontist
Lifesciences -  Nursing & Allied Health,Staff Nurse
Lifesciences -  Nursing & Allied Health,Clinical Nurse Specialist
Lifesciences -  Nursing & Allied Health,Labor and Delivery Nurse
Lifesciences -  Nursing & Allied Health,Postpartum Nurse
Lifesciences -  Nursing & Allied Health,Maternity Ward Nurse
Lifesciences -  Nursing & Allied Health,Nurse Educator
Lifesciences -  Nursing & Allied Health,Clinical Physiotherapist
Lifesciences -  Nursing & Allied Health,Sports Physiotherapist
Lifesciences -  Nursing & Allied Health,Pediatric Physiotherapist
"Lifesciences -  Agri, Animal & Environmental Sciences",Agricultural Officer
"Lifesciences -  Agri, Animal & Environmental Sciences",Botanist
"Lifesciences -  Agri, Animal & Environmental Sciences",Zoologist
"Lifesciences -  Agri, Animal & Environmental Sciences",Ecologist
"Lifesciences -  Agri, Animal & Environmental Sciences",Environmental Scientist
"Lifesciences -  Agri, Animal & Environmental Sciences",Animal Breeder
"Lifesciences -  Agri, Animal & Environmental Sciences",Animal Breeders
"Lifesciences -  Agri, Animal & Environmental Sciences",Veterinary Surgeon
"Lifesciences -  Agri, Animal & Environmental Sciences",Veterinary Officer
"Lifesciences -  Agri, Animal & Environmental Sciences",Veterinary Officers
"Lifesciences -  Agri, Animal & Environmental Sciences",Veterinary Assistant
"Lifesciences -  Agri, Animal & Environmental Sciences",Livestock Development Officer
"Lifesciences -  Agri, Animal & Environmental Sciences",Animal Health Manager
"Lifesciences -  Agri, Animal & Environmental Sciences",Veterinary Researcher
"Lifesciences -  Agri, Animal & Environmental Sciences",Veterinary Research Scientist
"Lifesciences -  Agri, Animal & Environmental Sciences",Veterinary Inspector
"Lifesciences -  Agri, Animal & Environmental Sciences",Veterinary Pathologist
"Lifesciences -  Agri, Animal & Environmental Sciences",Veterinary Gynaecologist
"Lifesciences -  Agri, Animal & Environmental Sciences",Wildlife Technician
"Lifesciences -  Agri, Animal & Environmental Sciences",Zookeeper
"Lifesciences -  Agri, Animal & Environmental Sciences",Farm Manager
"Lifesciences -  Agri, Animal & Environmental Sciences",Crop Specialist
"Lifesciences -  Agri, Animal & Environmental Sciences",Agronomist
"Lifesciences -  Agri, Animal & Environmental Sciences",Bioagriculture
Lifesciences -  Food & Nutrition Sciences,Nutritionist
Lifesciences -  Food & Nutrition Sciences,Food Technologist
Lifesciences -  Food & Nutrition Sciences,Food Safety Officer
Lifesciences -  Food & Nutrition Sciences,Food Safety & Inspection Officer
Lifesciences -  Food & Nutrition Sciences,Food Quality Controller
Lifesciences -  Food & Nutrition Sciences,Hospital Diet Clerk
Lifesciences -  Engineering & Biotechnology,Bioprocess Engineer
Lifesciences -  Engineering & Biotechnology,Biomedical Equipment Technician
Lifesciences -  Engineering & Biotechnology,Clinical Engineer
Lifesciences -  Engineering & Biotechnology,Medical Textile Engineer
Lifesciences -  Engineering & Biotechnology,Textile Scientist
Lifesciences -  Engineering & Biotechnology,Sustainable Textile Developer
Lifesciences -  Engineering & Biotechnology,Bioinstrumentation Engineer
Lifesciences -  Public Health & Wellness,Epidemiologist
Lifesciences -  Public Health & Wellness,Mental Health Educator
Lifesciences -  Public Health & Wellness,Counselor
Lifesciences -  Public Health & Wellness,Counsellor
Lifesciences -  Public Health & Wellness,Yoga Therapist
Lifesciences -  Public Health & Wellness,Therapist
Lifesciences -  Public Health & Wellness,Rehabilitation Specialist
Lifesciences -  Public Health & Wellness,Rehabilitator
Lifesciences -  Public Health & Wellness,Speech and Language Therapist
Lifesciences -  Public Health & Wellness,Patient Experience Manager
Lifesciences -  Public Health & Wellness,Healthcare Quality Manager
Agriculture -  Crop Science & Agronomy,Botanist
Agriculture -  Crop Science & Agronomy,Agronomist
Agriculture -  Crop Science & Agronomy,Crop Specialist
Agriculture -  Crop Science & Agronomy,Plant Pathologist
Agriculture -  Crop Science & Agronomy,Entomologist
