Industry - Department,Role
Agriculture -  Animal Husbandry & Veterinary,Animal Breeder
Agriculture -  Animal Husbandry & Veterinary,Animal Breeders
Agriculture -  Animal Husbandry & Veterinary,Veterinary Officer
Agriculture -  Animal Husbandry & Veterinary,Veterinary Officers
Agriculture -  Animal Husbandry & Veterinary,Veterinary Assistant
Agriculture -  Animal Husbandry & Veterinary,Veterinary Inspector
Agriculture -  Animal Husbandry & Veterinary,Animal Health Manager
Agriculture -  Animal Husbandry & Veterinary,Livestock Development Officer
Agriculture -  Research & Development,Veterinary Research Scientist
Agriculture -  Research & Development,Veterinary Researcher
Agriculture -  Research & Development,Bioinformatics Analyst
Agriculture -  Research & Development,Microbiologist
Agriculture -  Research & Development,Biochemical Engineer
Agriculture -  Farm Operations & Management,Farm Manager
Agriculture -  Farm Operations & Management,Agricultural Officer
Agriculture -  Environmental & Sustainability,Environmental Engineer
Agriculture -  Environmental & Sustainability,Environmental Scientist
Agriculture -  Environmental & Sustainability,Ecologist
Agriculture -  Environmental & Sustainability,Wildlife Technician
Agriculture -  Food Safety & Quality,Food Safety Officer
Agriculture -  Food Safety & Quality,Food Safety & Inspection Officer
Agriculture -  Food Safety & Quality,Food Quality Controller
Agriculture -  Food Safety & Quality,Quality Assurance Analyst
Agriculture -  Laboratory & Diagnostics,Lab Technician
Agriculture -  Biotechnology & Engineering,Bioprocess Engineer
Agriculture -  Biotechnology & Engineering,Bioagriculture
Agriculture -  Earth & Geo Sciences,Geophysicist
Agriculture -  Earth & Geo Sciences,Earth Science Technician
Agriculture -  Regulatory & Inspection,Veterinary Inspector
Manufacturing -  Production & Manufacturing,Production Engineer
Manufacturing -  Production & Manufacturing,Manufacturing Engineer
Manufacturing -  Production & Manufacturing,Process Engineer
Manufacturing -  Production & Manufacturing,Operations Executive
Manufacturing -  Engineering & Design,Design Engineer
Manufacturing -  Engineering & Design,CAD Technician
Manufacturing -  Engineering & Design,Product Developer
Manufacturing -  Engineering & Design,Materials Engineer
Manufacturing -  Engineering & Design,Site Engineer
Manufacturing -  Engineering & Design,Power Engineer
Manufacturing -  Engineering & Design,Welding Engineer
Manufacturing -  Engineering & Design,Mechatronics Technician
Manufacturing -  Quality Assurance & Control,Quality Control Supervisor
Manufacturing -  Quality Assurance & Control,Quality Control Officer
Manufacturing -  Supply Chain & Logistics,Logistics Coordinator
Manufacturing -  Supply Chain & Logistics,Inventory Control Specialist
Manufacturing -  Supply Chain & Logistics,Green Supply Chain Manager
Manufacturing -  Finance & Costing,Cost Accountant
Manufacturing -  HR & Industrial Relations,HR Executive
Manufacturing -  HR & Industrial Relations,Industrial Relations Manager
Manufacturing -  Compliance & Regulatory,Compliance Officer
Manufacturing -  R&D & Innovation,Textile Scientist
Manufacturing -  R&D & Innovation,Sustainable Textile Developer
Manufacturing -  Operations Management,Engineering
Manufacturing -  Operations Management,Pattern Master
Manufacturing -  Maintenance & Utilities,Power Engineer
Transport & Logistics -  Logistics & Transportation Operations,Logistics Coordinator
Transport & Logistics -  Logistics & Transportation Operations,Operations Executive
Transport & Logistics -  Supply Chain Management,Supply Chain Analyst
Transport & Logistics -  Supply Chain Management,Green Supply Chain Manager
Transport & Logistics -  Supply Chain Management,Inventory Control Specialist
Transport & Logistics -  Warehouse & Distribution,Warehouse Manager
Transport & Logistics -  Procurement & Sourcing,Procurement Executive
Transport & Logistics -  Procurement & Sourcing,Procurement/Contract Analyst
Transport & Logistics -  International Trade & Compliance,Export/Import Manager
Transport & Logistics -  International Trade & Compliance,International Trade Consultant
Transport & Logistics -  Engineering & Fleet Management,Production Engineer
Transport & Logistics -  Engineering & Fleet Management,Automotive Design Engineer
Transport & Logistics -  Engineering & Fleet Management,Maintenance Engineer
Transport & Logistics -  Engineering & Fleet Management,Flight Test Engineer
Transport & Logistics -  Infrastructure & Projects,Site Engineer
Transport & Logistics -  Infrastructure & Projects,Architect
Transport & Logistics -  Sustainability & Environment,Environmental Engineer
Transport & Logistics -  Sustainability & Environment,Renewable Energy Engineer
Transport & Logistics -  Quality & Safety,Quality Control Supervisor
Transport & Logistics -  Technology & Analytics,GIS Analyst
Transport & Logistics -  Technology & Analytics,GIS Specialist
Transport & Logistics -  Technology & Analytics,Telecom Officer
Retail -  Merchandising & Product,Fashion Designer
Retail -  Merchandising & Product,Weave Designer
Retail -  Merchandising & Product,Fashion Merchandiser
Retail -  Merchandising & Product,Merchandise Planner
Retail -  Merchandising & Product,Fashion Consultant
Retail -  Merchandising & Product,Ethical Fashion Consultant
Retail -  Sales & Customer Management,Sales Executive
Retail -  Sales & Customer Management,Relationship Manager
Retail -  Sales & Customer Management,Technical Sales Rep
Retail -  Sales & Customer Management,Medical Representative
Retail -  Sales & Customer Management,Medical Sales Representative
Retail -  Marketing & Branding,Marketing Executive
Retail -  Marketing & Branding,Brand Manager
Retail -  Marketing & Branding,Public Relations Specialist
Retail -  Marketing & Branding,Public Relations Officer
Retail -  Marketing & Branding,Public Relations (PR) Specialist
Retail -  Retail Store Operations,Retail Manager
Retail -  Retail Store Operations,Front Office Manager
Retail -  Retail Store Operations,Housekeeping Manager
Retail -  Retail Store Operations,Food & Beverage Manager
Retail -  Supply Chain & Logistics,Logistics Coordinator
Retail -  Supply Chain & Logistics,Supply Chain Analyst
Retail -  Supply Chain & Logistics,Warehouse Manager
Retail -  Supply Chain & Logistics,Export/Import Manager
Retail -  Procurement & Sourcing,Procurement Executive
Retail -  Procurement & Sourcing,Procurement/Contract Analyst
Retail -  Production & Quality,Production Engineer
Retail -  Production & Quality,Production/Process Engineer
Retail -  Production & Quality,Quality Control Engineer
Retail -  Production & Quality,Quality Control Supervisor
Retail -  Production & Quality,Quality Assurance Analyst
Retail -  Operations & Management,Operations Executive
Retail -  Operations & Management,Operations Analyst
Retail -  Operations & Management,Corporate Operations Manager
Retail -  Operations & Management,Project Manager
Retail -  International Business,International Business Manager
Retail -  Compliance & Support,Compliance Officer
Retail -  Compliance & Support,Maintenance Engineer
Food -  Food Production & Processing,Food Technologist
Food -  Food Production & Processing,Production/Process Engineer
Food -  Food Production & Processing,Process Engineer
Food -  Food Production & Processing,Process Improvement Engineer
Food -  Food Production & Processing,Product Developer
Food -  Quality & Food Safety,Quality Control Engineer
Food -  Quality & Food Safety,Quality Control Supervisor
Food -  Quality & Food Safety,Quality Control Officer
Food -  Quality & Food Safety,Quality Assurance Analyst
Food -  Quality & Food Safety,Food Safety Officer
Food -  Quality & Food Safety,Food Safety & Inspection Officer
Food -  Quality & Food Safety,Food Quality Controller
Food -  Supply Chain & Logistics,Warehouse Manager
Food -  Supply Chain & Logistics,Inventory Control Specialist
Food -  Supply Chain & Logistics,Export/Import Manager
Food -  Procurement & Sourcing,Procurement Executive
Food -  Procurement & Sourcing,Procurement/Contract Analyst
Food -  Sales & Business Development,Technical Sales Rep
Food -  Sales & Business Development,Biotech Product Executive
Food -  Sales & Business Development,International Trade Consultant
Food -  Farm & Agriculture Operations,Agricultural Officer
Food -  Farm & Agriculture Operations,Farm Manager
Food -  Farm & Agriculture Operations,Agronomist
Food -  Farm & Agriculture Operations,Crop Specialist
Food -  Farm & Agriculture Operations,Plant Pathologist
Food -  Farm & Agriculture Operations,Entomologist
Food -  Farm & Agriculture Operations,Bioagriculture
Food -  Animal Husbandry & Veterinary,Animal Breeder
Food -  Animal Husbandry & Veterinary,Animal Breeders
Food -  Animal Husbandry & Veterinary,Veterinary Surgeon
Food -  Animal Husbandry & Veterinary,Veterinary Officer
Food -  Animal Husbandry & Veterinary,Veterinary Officers
Food -  Animal Husbandry & Veterinary,Veterinary Assistant
Food -  Animal Husbandry & Veterinary,Veterinary Inspector
Food -  Animal Husbandry & Veterinary,Animal Health Manager
Food -  Animal Husbandry & Veterinary,Livestock Development Officer
Food -  Animal Husbandry & Veterinary,Veterinary Researcher
Food -  R&D & Biotechnology,Bioprocess Engineer
Food -  R&D & Biotechnology,Biochemical Engineer
Food -  R&D & Biotechnology,Microbiologist
Food -  Operations & Facility Management,Hotel Manager
Food -  Operations & Facility Management,Food & Beverage Manager
Food -  Operations & Facility Management,Front Office Manager
Food -  Operations & Facility Management,Housekeeping Manager
Food -  Operations & Facility Management,Maintenance Engineer
Food -  Nutrition & Health,Nutritionist
Food -  Nutrition & Health,Hospital Diet Clerk
Media & Entertainment -  Content Creation & Journalism,Journalist
Media & Entertainment -  Content Creation & Journalism,News Anchor
Media & Entertainment -  Content Creation & Journalism,Photojournalist
Media & Entertainment -  Content Creation & Journalism,Digital Content Creator
Media & Entertainment -  Editing & Publishing,Editor
Media & Entertainment -  Editing & Publishing,Editing & Publishing
Media & Entertainment -  Music & Audio Production,Music Composer
Media & Entertainment -  Music & Audio Production,Music Director
Media & Entertainment -  Music & Audio Production,Disc Jockey
Media & Entertainment -  Design & Creative,Graphic Designer
Media & Entertainment -  Design & Creative,Commercial Artist
Media & Entertainment -  Design & Creative,Graphic & Visualization Design
Media & Entertainment -  Design & Creative,UI/UX Designer
Media & Entertainment -  Fashion & Textile,Fashion Designer
Media & Entertainment -  Fashion & Textile,Textile Designer
Media & Entertainment -  Fashion & Textile,Textile/Print Designer
Media & Entertainment -  Fashion & Textile,Weave Designer
Media & Entertainment -  Fashion & Textile,Digital Textile Designer
Media & Entertainment -  Fashion & Textile,Knitwear Designe
Media & Entertainment -  Fashion & Textile,Sustainable Fashion Designer
Media & Entertainment -  Fashion & Textile,Fashion Stylist
Media & Entertainment -  Fashion & Textile,Fashion Merchandiser
Media & Entertainment -  Fashion & Textile,Fashion Consultant
Media & Entertainment -  Fashion & Textile,Ethical Fashion Consultant
Media & Entertainment -  Fashion & Textile,Fabric Developer
Media & Entertainment -  Fashion & Textile,Merchandise Planner
Media & Entertainment -  Fashion & Textile,Trend Forecaster
Media & Entertainment -  Marketing & Advertising,Advertising Account Executive
Media & Entertainment -  Marketing & Advertising,Brand Manager
Media & Entertainment -  Marketing & Advertising,Programmatic Advertising Specialist
Media & Entertainment -  Marketing & Advertising,Social Media Manager
Media & Entertainment -  Public Relations & Communications,Public Relations Specialist
Media & Entertainment -  Public Relations & Communications,Public Relations Officer
Media & Entertainment -  Public Relations & Communications,Public Relations (PR) Specialist
Media & Entertainment -  Events & Production,Event Manager
Media & Entertainment -  Events & Production,Broadcast Produce
Media & Entertainment -  Heritage & Archival,Museum Curator
Media & Entertainment -  Heritage & Archival,Archivist
Media & Entertainment -  Heritage & Archival,Heritage Manager
Media & Entertainment -  Heritage & Archival,Art Restoration Specialist
Media & Entertainment -  Digital & Platform Experience,UI/UX Designer
Oil & Gas -  Exploration & Geoscience,Geologist
Oil & Gas -  Exploration & Geoscience,Geotechnical Engineer
Oil & Gas -  Exploration & Geoscience,Hydrologist
Oil & Gas -  Exploration & Geoscience,Earth Science Technician
Oil & Gas -  Drilling & Production,Production Engineer
Oil & Gas -  Drilling & Production,Production/Process Engineer
Oil & Gas -  Drilling & Production,Process Engineer
Oil & Gas -  Drilling & Production,Operations Executive
Oil & Gas -  Drilling & Production,Operations Analyst
Oil & Gas -  Engineering & Design,Design Engineer
Oil & Gas -  Engineering & Design,Materials Engineer
Oil & Gas -  Engineering & Design,Metallurgist
Oil & Gas -  Engineering & Design,Structural Engineer
Oil & Gas -  Engineering & Design,Metal Design Engineer
Oil & Gas -  Engineering & Design,Site Engineer
Oil & Gas -  Engineering & Design,Welding Engineer
Oil & Gas -  Engineering & Design,Mechatronics Design Engineer
Oil & Gas -  Process & Plant Engineering,Process Improvement Engineer
Oil & Gas -  Process & Plant Engineering,Power Engineer
Oil & Gas -  Process & Plant Engineering,Power Plant Engineer
Oil & Gas -  Process & Plant Engineering,Energy Engineer
Oil & Gas -  Maintenance & Asset Management,Maintenance Engineer
Oil & Gas -  Maintenance & Asset Management,Service Engineer
Oil & Gas -  Maintenance & Asset Management,Mechatronics Technician
Oil & Gas -  Quality & Safety,Quality Control Engineer
Oil & Gas -  Quality & Safety,Quality Control Supervisor
Oil & Gas -  Quality & Safety,Quality Control Officer
Oil & Gas -  Quality & Safety,Quality Assurance Analyst
Oil & Gas -  Quality & Safety,EHS/ESG Consultant
Oil & Gas -  Environment & Sustainability,Environmental Engineer
Oil & Gas -  Environment & Sustainability,Environmental Scientist
Oil & Gas -  Environment & Sustainability,Environmental Consultant
Oil & Gas -  Environment & Sustainability,Air Quality Engineer
Oil & Gas -  Environment & Sustainability,Water/Waste Management Specialist
Oil & Gas -  Supply Chain & Procurement,Supply Chain Analyst
Oil & Gas -  Supply Chain & Procurement,Procurement Executive
Oil & Gas -  Supply Chain & Procurement,Procurement/Contract Analyst
Oil & Gas -  Supply Chain & Procurement,Inventory Control Specialist
Oil & Gas -  Supply Chain & Procurement,Warehouse Manager
Oil & Gas -  Supply Chain & Procurement,Green Supply Chain Manager
Oil & Gas -  Projects & Corporate Operations,Project Manager
Oil & Gas -  Projects & Corporate Operations,Corporate Operations Manager
Oil & Gas -  Projects & Corporate Operations,Building Contractor
Oil & Gas -  Digital & Automation,Automation Engineer
Oil & Gas -  Digital & Automation,Control Systems Engineer
Oil & Gas -  Digital & Automation,Control & Instrumentation Engineer
Oil & Gas -  Digital & Automation,Instrumentation Engineer
Oil & Gas -  Digital & Automation,GIS Analyst
Oil & Gas -  Digital & Automation,GIS Specialist
Oil & Gas -  Digital & Automation,Application Engineer
Oil & Gas -  Digital & Automation,Technical Sales Rep
Oil & Gas -  Digital & Automation,International Trade Consultant
Oil & Gas -  Digital & Automation,Export/Import Manager
Oil & Gas -  Compliance & Governance,Compliance Officer
Oil & Gas -  Laboratory & Testing,Lab Technician
Oil & Gas -  Energy & Audit,Energy Auditor
Real Estate -  Sales & Marketing,Sales Executive
Real Estate -  Sales & Marketing,Technical Sales Rep
Real Estate -  Project Development & Management,Project Manager
Real Estate -  Project Development & Management,Operations Executive
Real Estate -  Architecture & Design,Architect
Real Estate -  Architecture & Design,Interior Designer
Real Estate -  Architecture & Design,CAD Technician
Real Estate -  Architecture & Design,Architecture & Urban Planner
Real Estate -  Architecture & Design,Urban Planner
Real Estate -  Architecture & Design,Metal Design Engineer
Real Estate -  Engineering & Construction,Site Engineer
Real Estate -  Engineering & Construction,Structural Engineer
Real Estate -  Engineering & Construction,Welding Engineer
Real Estate -  Engineering & Construction,Building Contractor
Real Estate -  Engineering & Construction,Geotechnical Engineer
Real Estate -  Quality & Assurance,Quality Control Engineer
Real Estate -  Quality & Assurance,Quality Control Supervisor
Real Estate -  Quality & Assurance,Quality Control Officer
Real Estate -  Quality & Assurance,Quality Assurance Analyst
Real Estate -  Procurement & Supply Chain,Procurement Executive
Real Estate -  Procurement & Supply Chain,Procurement/Contract Analyst
Real Estate -  Facility Management,Maintenance Engineer
Real Estate -  Facility Management,Service Engineer
Real Estate -  Facility Management,Front Office Manager
Real Estate -  Sustainability & Environment,Environmental Consultant
Real Estate -  Sustainability & Environment,Ecologist
Real Estate -  Sustainability & Environment,Sustainability Consultant
Real Estate -  Sustainability & Environment,EHS/ESG Consultant
Real Estate -  Sustainability & Environment,Water/Waste Management Specialist
Real Estate -  Technology & Automation,Automation Engineer
Real Estate -  Technology & Automation,GIS Specialist
Real Estate -  Operations & Administration,Operations Executive
